Sensitive Detector-Voxels. Total number of events, [mm]->centreX centreY centreZ HalfSizeX HalfSizeY HalfSizeZ minX maxX, minY maxY, minZ maxZ, Dx, Dy, Dz, nX, nY, nZ: 
5333	0	0	0	150	150	150	-150	150	-150	150	-150	150	1.5	1.5	1.5	100	100	100
Number of physical volumes: 2
G4_WATER	1
G4_Galactic	2
Phys Volume x [mm], y [mm], z [mm], ix, iy, iz, Dose [Gy], Dose2 [Gy^2], nEvents
1	-148.5	-22.5	52.5	0	42	67	1.94218e-10	1.68258e-20	3
1	-148.5	118.5	88.5	0	89	79	1.38757e-11	1.66314e-22	2
1	-148.5	118.5	94.5	0	89	81	1.16378e-10	1.2227e-20	3
1	-148.5	136.5	16.5	0	95	55	2.4586e-10	2.74014e-20	4
1	-145.5	22.5	115.5	1	57	88	6.22114e-11	3.35312e-21	2
1	-142.5	148.5	16.5	2	99	55	1.52423e-10	1.99654e-20	3
1	-136.5	52.5	79.5	4	67	76	3.19784e-09	8.93616e-19	17
1	-136.5	61.5	100.5	4	70	83	3.26442e-11	8.60051e-22	3
1	-133.5	145.5	34.5	5	98	61	1.34876e-10	1.28417e-20	2
1	-130.5	-55.5	-49.5	6	31	33	1.58053e-09	2.58716e-19	11
1	-130.5	40.5	-76.5	6	63	24	5.19228e-11	2.57147e-21	2
1	-130.5	73.5	85.5	6	74	78	2.05456e-10	1.82123e-20	4
1	-127.5	-31.5	-52.5	7	39	32	1.2085e-10	1.09992e-20	3
1	-127.5	-22.5	-55.5	7	42	31	6.67148e-10	8.05506e-20	6
1	-127.5	4.5	-82.5	7	51	22	1.6243e-11	2.02734e-22	3
1	-127.5	100.5	73.5	7	83	74	5.03084e-11	1.99723e-21	3
1	-124.5	-10.5	109.5	8	46	86	5.76242e-09	2.04197e-18	29
1	-124.5	34.5	-127.5	8	61	7	1.40714e-10	1.67207e-20	2
1	-121.5	-61.5	-19.5	9	29	43	2.55329e-11	5.61595e-22	3
1	-121.5	-37.5	-70.5	9	37	26	2.73446e-10	2.16005e-20	5
1	-121.5	133.5	-7.5	9	94	47	8.84807e-10	1.59257e-19	7
1	-118.5	-73.5	4.5	10	25	51	1.32554e-10	1.49005e-20	3
1	-115.5	-49.5	-148.5	11	33	0	8.42033e-14	7.09019e-27	1
1	-115.5	4.5	-49.5	11	51	33	4.83376e-11	1.94119e-21	2
1	-115.5	34.5	-148.5	11	61	0	8.42033e-14	7.09019e-27	1
1	-112.5	37.5	-145.5	12	62	1	2.5992e-10	2.92594e-20	4
1	-112.5	76.5	64.5	12	75	71	3.13335e-11	7.6439e-22	3
1	-109.5	-67.5	-1.5	13	27	49	1.1113e-10	1.05652e-20	3
1	-106.5	58.5	-73.5	14	69	25	1.40496e-09	1.78896e-19	13
1	-106.5	112.5	109.5	14	87	86	4.3149e-13	1.86183e-25	1
1	-103.5	-76.5	-133.5	15	24	5	1.7033e-09	2.35214e-19	17
1	-103.5	-76.5	-130.5	15	24	6	8.51879e-10	1.46865e-19	7
1	-103.5	55.5	145.5	15	68	98	1.55538e-09	2.59512e-19	11
1	-100.5	-73.5	-148.5	16	25	0	8.42033e-14	7.09019e-27	1
1	-100.5	-55.5	-112.5	16	31	12	3.21322e-11	7.10079e-22	3
1	-100.5	-37.5	61.5	16	37	70	1.34905e-09	2.64672e-19	9
1	-100.5	-34.5	61.5	16	38	70	4.62183e-09	6.86261e-18	5
1	-100.5	-34.5	64.5	16	38	71	3.77708e-09	5.01897e-18	3
1	-100.5	-31.5	64.5	16	39	71	5.82276e-10	1.80232e-19	2
1	-100.5	-7.5	133.5	16	47	94	2.82659e-11	7.13165e-22	3
1	-100.5	28.5	97.5	16	59	82	3.08671e-10	2.90768e-20	5
1	-100.5	34.5	-97.5	16	61	17	2.66098e-09	8.41921e-19	12
1	-100.5	46.5	1.5	16	65	50	3.82071e-12	9.28837e-24	2
1	-100.5	67.5	94.5	16	72	81	6.46348e-11	2.86966e-21	3
1	-100.5	85.5	94.5	16	78	81	5.2879e-12	2.31219e-23	3
1	-100.5	124.5	64.5	16	91	71	5.30091e-11	2.48281e-21	3
1	-97.5	-61.5	4.5	17	29	51	3.12654e-09	5.69954e-18	7
1	-97.5	-61.5	7.5	17	29	52	3.56624e-09	5.57307e-18	7
1	-97.5	-61.5	10.5	17	29	53	1.5566e-09	1.93125e-18	3
1	-97.5	-31.5	64.5	17	39	71	2.04075e-09	3.49611e-19	14
1	-97.5	16.5	-103.5	17	55	15	1.3323e-09	2.55979e-19	9
1	-97.5	19.5	-88.5	17	56	20	2.428e-11	4.57588e-22	3
1	-97.5	22.5	-94.5	17	57	18	5.79609e-10	4.97069e-20	8
1	-97.5	43.5	-1.5	17	64	49	8.42033e-14	7.09019e-27	1
1	-97.5	70.5	97.5	17	73	82	6.16435e-11	3.21247e-21	3
1	-97.5	112.5	-73.5	17	87	25	8.42033e-14	7.09019e-27	1
1	-97.5	121.5	70.5	17	90	73	2.4068e-11	2.90577e-22	3
1	-97.5	124.5	-64.5	17	91	28	4.8873e-11	1.88261e-21	2
1	-94.5	-97.5	-145.5	18	17	1	1.21179e-10	1.21796e-20	2
1	-94.5	-61.5	10.5	18	29	53	7.06256e-09	2.38184e-18	32
1	-94.5	79.5	-100.5	18	76	16	3.94753e-10	3.29681e-20	5
1	-94.5	85.5	-112.5	18	78	12	6.91426e-12	2.13561e-23	3
1	-91.5	10.5	-73.5	19	53	25	4.69217e-11	1.82679e-21	3
1	-91.5	97.5	-124.5	19	82	8	5.82682e-11	2.60029e-21	3
1	-88.5	-94.5	-148.5	20	18	0	2.85773e-12	6.39264e-24	4
1	-88.5	-46.5	-94.5	20	34	18	7.9784e-12	2.88863e-23	3
1	-88.5	-37.5	-103.5	20	37	15	2.45172e-10	2.67806e-20	3
1	-88.5	16.5	49.5	20	55	66	3.9289e-10	3.42307e-20	6
1	-88.5	49.5	-103.5	20	66	15	9.14227e-10	1.38299e-19	8
1	-88.5	52.5	-94.5	20	67	18	1.40956e-09	2.07213e-19	12
1	-88.5	55.5	-94.5	20	68	18	5.34096e-09	4.04842e-18	16
1	-88.5	79.5	-58.5	20	76	30	4.44935e-10	4.42961e-20	6
1	-88.5	79.5	34.5	20	76	61	6.14505e-10	5.70294e-20	8
1	-88.5	85.5	34.5	20	78	61	5.84147e-10	1.86792e-19	3
1	-88.5	118.5	-61.5	20	89	29	8.97055e-11	5.36043e-21	2
1	-88.5	118.5	-58.5	20	89	30	1.67365e-10	1.47226e-20	4
